Numero,Dia,Fecha,Aplicación,Tiempo (s)
1,lunes,7/03/2022,Whatsapp,248
2,lunes,7/03/2022,Instagram,62
3,lunes,7/03/2022,Twitter,15
4,lunes,7/03/2022,Google,12
5,lunes,7/03/2022,Musica,10
6,lunes,7/03/2022,Discord,8
7,lunes,7/03/2022,Photos,7
8,lunes,7/03/2022,Slack,25
9,lunes,7/03/2022,Mail,2
10,lunes,7/03/2022,TikTok,0
11,lunes,7/03/2022,Telegram,0
12,martes,8/03/2022,Whatsapp,300
13,martes,8/03/2022,Instagram,54
14,martes,8/03/2022,Twitter,12
15,martes,8/03/2022,Google,5
16,martes,8/03/2022,Musica,5
17,martes,8/03/2022,Discord,5
18,martes,8/03/2022,Photos,5
19,martes,8/03/2022,Slack,18
20,martes,8/03/2022,Mail,5
21,martes,8/03/2022,TikTok,71
22,martes,8/03/2022,Telegram,0
23,miercoles,9/03/2022,Whatsapp,239
24,miercoles,9/03/2022,Instagram,66
25,miercoles,9/03/2022,Twitter,54
26,miercoles,9/03/2022,Google,6
27,miercoles,9/03/2022,Musica,5
28,miercoles,9/03/2022,Discord,7
29,miercoles,9/03/2022,Photos,44
30,miercoles,9/03/2022,Slack,22
31,miercoles,9/03/2022,Mail,5
32,miercoles,9/03/2022,TikTok,62
33,miercoles,9/03/2022,Telegram,14
34,jueves,10/03/2022,Whatsapp,163
35,jueves,10/03/2022,Instagram,84
36,jueves,10/03/2022,Twitter,16
37,jueves,10/03/2022,Google,14
38,jueves,10/03/2022,Musica,7
39,jueves,10/03/2022,Discord,3
40,jueves,10/03/2022,Photos,4
41,jueves,10/03/2022,Slack,22
42,jueves,10/03/2022,Mail,2
43,jueves,10/03/2022,TikTok,43
44,jueves,10/03/2022,Telegram,4
45,viernes,11/03/2022,Whatsapp,233
46,viernes,11/03/2022,Instagram,123
47,viernes,11/03/2022,Twitter,33
48,viernes,11/03/2022,Google,4
49,viernes,11/03/2022,Musica,12
50,viernes,11/03/2022,Discord,22
51,viernes,11/03/2022,Photos,24
52,viernes,11/03/2022,Slack,42
53,viernes,11/03/2022,Mail,2
54,viernes,11/03/2022,TikTok,45
55,viernes,11/03/2022,Telegram,23
56,sabado,12/03/2022,Whatsapp,325
57,sabado,12/03/2022,Instagram,123
58,sabado,12/03/2022,Twitter,45
59,sabado,12/03/2022,Google,23
60,sabado,12/03/2022,Musica,12
61,sabado,12/03/2022,Discord,2
62,sabado,12/03/2022,Photos,12
63,sabado,12/03/2022,Slack,25
64,sabado,12/03/2022,Mail,2
65,sabado,12/03/2022,TikTok,35
66,sabado,12/03/2022,Telegram,12
67,domingo,13/03/2022,Whatsapp,222
68,domingo,13/03/2022,Instagram,129
69,domingo,13/03/2022,Twitter,24
70,domingo,13/03/2022,Google,2
71,domingo,13/03/2022,Musica,32
72,domingo,13/03/2022,Discord,12
73,domingo,13/03/2022,Photos,1
74,domingo,13/03/2022,Slack,22
75,domingo,13/03/2022,Mail,1
76,domingo,13/03/2022,TikTok,56
77,domingo,13/03/2022,Telegram,12
78,lunes,14/03/2022,Whatsapp,159
79,lunes,14/03/2022,Instagram,120
80,lunes,14/03/2022,Twitter,9
81,lunes,14/03/2022,Google,16
82,lunes,14/03/2022,Musica,2
83,lunes,14/03/2022,Discord,2
84,lunes,14/03/2022,Photos,3
85,lunes,14/03/2022,Slack,12
86,lunes,14/03/2022,Mail,1
87,lunes,14/03/2022,TikTok,17
88,lunes,14/03/2022,Telegram,2
89,martes,15/03/2022,Whatsapp,157
90,martes,15/03/2022,Instagram,235
91,martes,15/03/2022,Twitter,16
92,martes,15/03/2022,Google,2
93,martes,15/03/2022,Musica,15
