Fecha,Aplicación,Tiempo (s)
7/03/2022,Whatsapp,248
7/03/2022,Instagram,62
7/03/2022,Twitter,15
7/03/2022,Google,12
7/03/2022,Musica,10
7/03/2022,Discord,8
7/03/2022,Photos,7
7/03/2022,Slack,25
7/03/2022,Mail,2
7/03/2022,TikTok,0
7/03/2022,Telegram,0
8/03/2022,Whatsapp,300
8/03/2022,Instagram,54
8/03/2022,Twitter,12
8/03/2022,Google,5
8/03/2022,Musica,5
8/03/2022,Discord,5
8/03/2022,Photos,5
8/03/2022,Slack,18
8/03/2022,Mail,5
8/03/2022,TikTok,71
8/03/2022,Telegram,0
9/03/2022,Whatsapp,239
9/03/2022,Instagram,66
9/03/2022,Twitter,54
9/03/2022,Google,6
9/03/2022,Musica,5
9/03/2022,Discord,7
9/03/2022,Photos,44
9/03/2022,Slack,22
9/03/2022,Mail,5
9/03/2022,TikTok,62
9/03/2022,Telegram,14
10/03/2022,Whatsapp,163
10/03/2022,Instagram,84
10/03/2022,Twitter,16
10/03/2022,Google,14
10/03/2022,Musica,7
10/03/2022,Discord,3
10/03/2022,Photos,4
10/03/2022,Slack,22
10/03/2022,Mail,2
10/03/2022,TikTok,43
10/03/2022,Telegram,4
11/03/2022,Whatsapp,233
11/03/2022,Instagram,123
11/03/2022,Twitter,33
11/03/2022,Google,4
11/03/2022,Musica,12
11/03/2022,Discord,22
11/03/2022,Photos,24
11/03/2022,Slack,42
11/03/2022,Mail,2
11/03/2022,TikTok,45
11/03/2022,Telegram,23
12/03/2022,Whatsapp,325
12/03/2022,Instagram,123
12/03/2022,Twitter,45
12/03/2022,Google,23
12/03/2022,Musica,12
12/03/2022,Discord,2
12/03/2022,Photos,12
12/03/2022,Slack,25
12/03/2022,Mail,2
12/03/2022,TikTok,35
12/03/2022,Telegram,12
13/03/2022,Whatsapp,222
13/03/2022,Instagram,129
13/03/2022,Twitter,24
13/03/2022,Google,2
13/03/2022,Musica,32
13/03/2022,Discord,12
13/03/2022,Photos,1
13/03/2022,Slack,22
13/03/2022,Mail,1
13/03/2022,TikTok,56
13/03/2022,Telegram,12
14/03/2022,Whatsapp,159
14/03/2022,Instagram,120
14/03/2022,Twitter,9
14/03/2022,Google,16
14/03/2022,Musica,2
14/03/2022,Discord,2
14/03/2022,Photos,3
14/03/2022,Slack,12
14/03/2022,Mail,1
14/03/2022,TikTok,17
14/03/2022,Telegram,2
15/03/2022,Whatsapp,157
15/03/2022,Instagram,235
15/03/2022,Twitter,16
15/03/2022,Google,2
15/03/2022,Musica,15
15/03/2022,Discord,2
15/03/2022,Photos,4
15/03/2022,Slack,21
15/03/2022,Mail,4
15/03/2022,TikTok,3
15/03/2022,Telegram,6
16/03/2022,Whatsapp,245
16/03/2022,Instagram,163
16/03/2022,Twitter,12
16/03/2022,Google,11
16/03/2022,Musica,2
16/03/2022,Discord,1
16/03/2022,Photos,2
16/03/2022,Slack,12
16/03/2022,Mail,1
16/03/2022,TikTok,28
16/03/2022,Telegram,5
17/03/2022,Whatsapp,125
17/03/2022,Instagram,108
17/03/2022,Twitter,64
17/03/2022,Google,12
17/03/2022,Musica,12
17/03/2022,Discord,11
17/03/2022,Photos,7
17/03/2022,Slack,9
17/03/2022,Mail,2
17/03/2022,TikTok,49
17/03/2022,Telegram,7
18/03/2022,Whatsapp,142
18/03/2022,Instagram,54
18/03/2022,Twitter,34
18/03/2022,Google,4
18/03/2022,Musica,5
18/03/2022,Discord,1
18/03/2022,Photos,2
18/03/2022,Slack,6
18/03/2022,Mail,7
18/03/2022,TikTok,32
18/03/2022,Telegram,7
19/03/2022,Whatsapp,178
19/03/2022,Instagram,93
19/03/2022,Twitter,26
19/03/2022,Google,9
19/03/2022,Musica,5
19/03/2022,Discord,4
19/03/2022,Photos,3
19/03/2022,Slack,2
19/03/2022,Mail,1
19/03/2022,TikTok,5
19/03/2022,Telegram,2
20/03/2022,Whatsapp,60
20/03/2022,Instagram,124
20/03/2022,Twitter,6
20/03/2022,Google,12
20/03/2022,Musica,11
20/03/2022,Discord,5
20/03/2022,Photos,4
20/03/2022,Slack,2
20/03/2022,Mail,2
20/03/2022,TikTok,2
20/03/2022,Telegram,1
21/03/2022,Whatsapp,122
21/03/2022,Instagram,95
21/03/2022,Twitter,34
21/03/2022,Google,45
21/03/2022,Musica,99
21/03/2022,Discord,1
21/03/2022,Photos,1
21/03/2022,Slack,1
21/03/2022,Mail,1
21/03/2022,TikTok,33
21/03/2022,Telegram,1
22/03/2022,Whatsapp,154
22/03/2022,Instagram,52
22/03/2022,Twitter,25
22/03/2022,Google,300
22/03/2022,Musica,1
22/03/2022,Discord,1
22/03/2022,Photos,1
22/03/2022,Slack,1
22/03/2022,Mail,1
22/03/2022,TikTok,124
22/03/2022,Telegram,2
23/03/2022,Whatsapp,193
23/03/2022,Instagram,89
23/03/2022,Twitter,20
23/03/2022,Google,1
23/03/2022,Musica,20
23/03/2022,Discord,1
23/03/2022,Photos,1
23/03/2022,Slack,12
23/03/2022,Mail,1
23/03/2022,TikTok,38
23/03/2022,Telegram,1
24/03/2022,Whatsapp,103
24/03/2022,Instagram,53
24/03/2022,Twitter,12
24/03/2022,Google,32
24/03/2022,Musica,19
24/03/2022,Discord,1
24/03/2022,Photos,1
24/03/2022,Slack,1
24/03/2022,Mail,1
24/03/2022,TikTok,12
24/03/2022,Telegram,12
25/03/2022,Whatsapp,85
25/03/2022,Instagram,74
25/03/2022,Twitter,14
25/03/2022,Google,25
25/03/2022,Musica,7
25/03/2022,Discord,1
25/03/2022,Photos,1
25/03/2022,Slack,1
25/03/2022,Mail,1
25/03/2022,TikTok,87
25/03/2022,Telegram,1
26/03/2022,Whatsapp,62
26/03/2022,Instagram,120
26/03/2022,Twitter,15
26/03/2022,Google,29
26/03/2022,Musica,5
26/03/2022,Discord,1
26/03/2022,Photos,1
26/03/2022,Slack,1
26/03/2022,Mail,1
26/03/2022,TikTok,160
26/03/2022,Telegram,1
27/03/2022,Whatsapp,102
27/03/2022,Instagram,248
27/03/2022,Twitter,26
27/03/2022,Google,28
27/03/2022,Musica,17
27/03/2022,Discord,1
27/03/2022,Photos,1
27/03/2022,Slack,1
27/03/2022,Mail,1
27/03/2022,TikTok,63
27/03/2022,Telegram,1
28/03/2022,Whatsapp,265
28/03/2022,Instagram,210
28/03/2022,Twitter,51
28/03/2022,Google,23
28/03/2022,Musica,5
28/03/2022,Discord,1
28/03/2022,Photos,1
28/03/2022,Slack,1
28/03/2022,Mail,1
28/03/2022,TikTok,35
28/03/2022,Telegram,1
29/03/2022,Whatsapp,61
29/03/2022,Instagram,66
29/03/2022,Twitter,26
29/03/2022,Google,28
29/03/2022,Musica,1
29/03/2022,Discord,1
29/03/2022,Photos,1
29/03/2022,Slack,1
29/03/2022,Mail,1
29/03/2022,TikTok,56
29/03/2022,Telegram,4
30/03/2022,Whatsapp,225
30/03/2022,Instagram,50
30/03/2022,Twitter,19
30/03/2022,Google,20
30/03/2022,Musica,35
30/03/2022,Discord,1
30/03/2022,Photos,1
30/03/2022,Slack,1
30/03/2022,Mail,1
30/03/2022,TikTok,56
30/03/2022,Telegram,3
